Timestamp_UTC,Timestamp_Readable,Frame Delay (s),FPS,Accuracy
1747516936.617824,2025-05-18 03:22:16.617,0.397689,2.51,0.0000
1747516936.665401,2025-05-18 03:22:16.665,0.047577,21.02,0.0000
1747516936.6757646,2025-05-18 03:22:16.675,0.010364,96.49,0.0000
1747516936.7503455,2025-05-18 03:22:16.750,0.074581,13.41,0.0000
1747516936.7651703,2025-05-18 03:22:16.765,0.014825,67.45,0.0000
1747516936.7746649,2025-05-18 03:22:16.774,0.009495,105.32,0.0000
1747516936.850681,2025-05-18 03:22:16.850,0.076016,13.16,0.0000
1747516936.8749137,2025-05-18 03:22:16.874,0.024233,41.27,0.0000
1747516936.8843994,2025-05-18 03:22:16.884,0.009486,105.42,0.0000
1747516936.9446957,2025-05-18 03:22:16.944,0.060296,16.58,0.0000
1747516936.9572358,2025-05-18 03:22:16.957,0.012540,79.74,0.0000
1747516936.9675715,2025-05-18 03:22:16.967,0.010336,96.75,0.0000
1747516937.0626495,2025-05-18 03:22:17.062,0.095078,10.52,0.0000
1747516937.0733,2025-05-18 03:22:17.073,0.010650,93.89,0.0000
1747516937.0836763,2025-05-18 03:22:17.083,0.010376,96.37,0.0000
1747516937.1570928,2025-05-18 03:22:17.157,0.073416,13.62,0.0000
1747516937.1682994,2025-05-18 03:22:17.168,0.011207,89.23,0.0000
1747516937.1776125,2025-05-18 03:22:17.177,0.009313,107.38,0.0000
1747516937.250981,2025-05-18 03:22:17.250,0.073369,13.63,0.0000
1747516937.2621398,2025-05-18 03:22:17.262,0.011159,89.62,0.0000
1747516937.2733054,2025-05-18 03:22:17.273,0.011166,89.56,0.0000
1747516937.3199964,2025-05-18 03:22:17.320,0.046691,21.42,0.0000
1747516937.3344605,2025-05-18 03:22:17.334,0.014464,69.14,0.0000
1747516937.3962522,2025-05-18 03:22:17.396,0.061792,16.18,0.0000
1747516937.407315,2025-05-18 03:22:17.407,0.011063,90.39,0.0000
1747516937.459093,2025-05-18 03:22:17.459,0.051778,19.31,0.0000
1747516937.4728558,2025-05-18 03:22:17.472,0.013763,72.66,0.0000
1747516937.5219946,2025-05-18 03:22:17.522,0.049139,20.35,0.0000
1747516937.5308971,2025-05-18 03:22:17.530,0.008903,112.33,0.0000
1747516937.5873797,2025-05-18 03:22:17.587,0.056483,17.70,0.0000
1747516937.597525,2025-05-18 03:22:17.597,0.010145,98.57,0.0000
1747516937.6551847,2025-05-18 03:22:17.655,0.057660,17.34,0.0000
1747516937.6696646,2025-05-18 03:22:17.669,0.014480,69.06,0.0000
1747516937.712235,2025-05-18 03:22:17.712,0.042570,23.49,0.0000
1747516937.7211285,2025-05-18 03:22:17.721,0.008893,112.44,0.0000
1747516937.796022,2025-05-18 03:22:17.796,0.074893,13.35,0.7826
1747516937.806673,2025-05-18 03:22:17.806,0.010651,93.89,0.7826
1747516937.8589299,2025-05-18 03:22:17.858,0.052257,19.14,0.6977
1747516937.8719118,2025-05-18 03:22:17.871,0.012982,77.03,0.6977
1747516937.9245138,2025-05-18 03:22:17.924,0.052602,19.01,0.8475
1747516937.9331179,2025-05-18 03:22:17.933,0.008604,116.22,0.8475
1747516937.9904175,2025-05-18 03:22:17.990,0.057300,17.45,0.8781
1747516938.0018873,2025-05-18 03:22:18.001,0.011470,87.19,0.8781
1747516938.0535514,2025-05-18 03:22:18.053,0.051664,19.36,0.8476
1747516938.0632493,2025-05-18 03:22:18.063,0.009698,103.11,0.8476
1747516938.1187463,2025-05-18 03:22:18.118,0.055497,18.02,0.8350
1747516938.1303005,2025-05-18 03:22:18.130,0.011554,86.55,0.8350
1747516938.1987202,2025-05-18 03:22:18.198,0.068420,14.62,0.8237
1747516938.2088733,2025-05-18 03:22:18.208,0.010153,98.49,0.8237
1747516938.2624128,2025-05-18 03:22:18.262,0.053540,18.68,0.8694
1747516938.273824,2025-05-18 03:22:18.273,0.011411,87.63,0.8694
1747516938.3226259,2025-05-18 03:22:18.322,0.048802,20.49,0.8794
1747516938.3324702,2025-05-18 03:22:18.332,0.009844,101.58,0.8794
1747516938.3874695,2025-05-18 03:22:18.387,0.054999,18.18,0.8555
1747516938.3986912,2025-05-18 03:22:18.398,0.011222,89.11,0.8555
1747516938.4565713,2025-05-18 03:22:18.456,0.057880,17.28,0.8737
1747516938.4681647,2025-05-18 03:22:18.468,0.011593,86.26,0.8737
1747516938.5312886,2025-05-18 03:22:18.531,0.063124,15.84,0.8468
1747516938.5417845,2025-05-18 03:22:18.541,0.010496,95.28,0.8468
1747516938.5953908,2025-05-18 03:22:18.595,0.053606,18.65,0.8839
1747516938.6074717,2025-05-18 03:22:18.607,0.012081,82.78,0.8839
1747516938.6584563,2025-05-18 03:22:18.658,0.050985,19.61,0.8935
1747516938.6700695,2025-05-18 03:22:18.670,0.011613,86.11,0.8935
1747516938.7240875,2025-05-18 03:22:18.724,0.054018,18.51,0.8834
1747516938.733771,2025-05-18 03:22:18.733,0.009684,103.27,0.8834
1747516938.7885728,2025-05-18 03:22:18.788,0.054802,18.25,0.8945
1747516938.798774,2025-05-18 03:22:18.798,0.010201,98.03,0.8945
1747516938.8533294,2025-05-18 03:22:18.853,0.054555,18.33,0.8883
1747516938.8636699,2025-05-18 03:22:18.863,0.010340,96.71,0.8883
1747516938.932434,2025-05-18 03:22:18.932,0.068764,14.54,0.8921
1747516938.9419887,2025-05-18 03:22:18.941,0.009555,104.66,0.8921
1747516938.9985042,2025-05-18 03:22:18.998,0.056515,17.69,0.8938
1747516939.00901,2025-05-18 03:22:19.009,0.010506,95.18,0.8938
1747516939.0260758,2025-05-18 03:22:19.026,0.017066,58.60,0.8837
1747516939.0610769,2025-05-18 03:22:19.061,0.035001,28.57,0.8764
1747516939.0903378,2025-05-18 03:22:19.090,0.029261,34.18,0.8750
1747516939.1197672,2025-05-18 03:22:19.119,0.029429,33.98,0.8860
1747516939.1564374,2025-05-18 03:22:19.156,0.036670,27.27,0.8869
1747516939.1855073,2025-05-18 03:22:19.185,0.029070,34.40,0.8645
1747516939.218091,2025-05-18 03:22:19.218,0.032584,30.69,0.8934
1747516939.2536135,2025-05-18 03:22:19.253,0.035522,28.15,0.8697
1747516939.2652643,2025-05-18 03:22:19.265,0.011651,85.83,0.8697
1747516939.3273664,2025-05-18 03:22:19.327,0.062102,16.10,0.8852
1747516939.3670115,2025-05-18 03:22:19.367,0.039645,25.22,0.8834
1747516939.393877,2025-05-18 03:22:19.393,0.026865,37.22,0.8833
1747516939.4239657,2025-05-18 03:22:19.423,0.030089,33.24,0.8627
1747516939.460547,2025-05-18 03:22:19.460,0.036581,27.34,0.8944
1747516939.4912841,2025-05-18 03:22:19.491,0.030737,32.53,0.8568
1747516939.5199854,2025-05-18 03:22:19.519,0.028701,34.84,0.8816
1747516939.5544043,2025-05-18 03:22:19.554,0.034419,29.05,0.8926
1747516939.583936,2025-05-18 03:22:19.583,0.029532,33.86,0.8857
1747516939.6226995,2025-05-18 03:22:19.622,0.038764,25.80,0.8959
1747516939.6328409,2025-05-18 03:22:19.632,0.010141,98.61,0.8959
1747516939.6641219,2025-05-18 03:22:19.664,0.031281,31.97,0.8973
1747516939.7289329,2025-05-18 03:22:19.728,0.064811,15.43,0.8945
1747516939.7602494,2025-05-18 03:22:19.760,0.031317,31.93,0.8918
1747516939.7987468,2025-05-18 03:22:19.798,0.038497,25.98,0.8890
1747516939.8284302,2025-05-18 03:22:19.828,0.029683,33.69,0.8958
1747516939.8570786,2025-05-18 03:22:19.857,0.028648,34.91,0.9015
1747516939.892611,2025-05-18 03:22:19.892,0.035532,28.14,0.8871
1747516939.920139,2025-05-18 03:22:19.920,0.027528,36.33,0.9052
1747516939.9567611,2025-05-18 03:22:19.956,0.036622,27.31,0.8903
1747516940.0049233,2025-05-18 03:22:20.004,0.048162,20.76,0.9026
1747516940.0161383,2025-05-18 03:22:20.016,0.011215,89.17,0.9026
1747516940.035044,2025-05-18 03:22:20.035,0.018906,52.89,0.8799
1747516940.0710268,2025-05-18 03:22:20.071,0.035983,27.79,0.8733
1747516940.1313708,2025-05-18 03:22:20.131,0.060344,16.57,0.8823
1747516940.1626167,2025-05-18 03:22:20.162,0.031246,32.00,0.8578
1747516940.1968262,2025-05-18 03:22:20.196,0.034209,29.23,0.8304
1747516940.2259648,2025-05-18 03:22:20.225,0.029139,34.32,0.8716
1747516940.2628212,2025-05-18 03:22:20.262,0.036856,27.13,0.8741
1747516940.292144,2025-05-18 03:22:20.292,0.029323,34.10,0.8789
1747516940.3199859,2025-05-18 03:22:20.319,0.027842,35.92,0.8668
1747516940.372877,2025-05-18 03:22:20.372,0.052891,18.91,0.8378
1747516940.3842514,2025-05-18 03:22:20.384,0.011374,87.92,0.8378
1747516940.3995357,2025-05-18 03:22:20.399,0.015284,65.43,0.8482
1747516940.4351704,2025-05-18 03:22:20.435,0.035635,28.06,0.8927
1747516940.4663267,2025-05-18 03:22:20.466,0.031156,32.10,0.8773
1747516940.5306513,2025-05-18 03:22:20.530,0.064325,15.55,0.8506
1747516940.5616312,2025-05-18 03:22:20.561,0.030980,32.28,0.7999
1747516940.5975616,2025-05-18 03:22:20.597,0.035930,27.83,0.6293
1747516940.6245837,2025-05-18 03:22:20.624,0.027022,37.01,0.8872
1747516940.661698,2025-05-18 03:22:20.661,0.037114,26.94,0.8590
1747516940.6924615,2025-05-18 03:22:20.692,0.030763,32.51,0.8226
1747516940.7387667,2025-05-18 03:22:20.738,0.046305,21.60,0.7099
1747516940.7490363,2025-05-18 03:22:20.749,0.010270,97.37,0.7099
1747516940.7738245,2025-05-18 03:22:20.773,0.024788,40.34,0.7087
1747516940.8035047,2025-05-18 03:22:20.803,0.029680,33.69,0.0000
1747516940.8321326,2025-05-18 03:22:20.832,0.028628,34.93,0.6996
1747516940.8672605,2025-05-18 03:22:20.867,0.035128,28.47,0.7831
1747516940.9274642,2025-05-18 03:22:20.927,0.060204,16.61,0.8097
1747516940.9671278,2025-05-18 03:22:20.967,0.039664,25.21,0.7583
1747516940.9937594,2025-05-18 03:22:20.993,0.026632,37.55,0.7547
1747516941.023509,2025-05-18 03:22:21.023,0.029750,33.61,0.0000
1747516941.0598807,2025-05-18 03:22:21.059,0.036372,27.49,0.7368
1747516941.1040082,2025-05-18 03:22:21.104,0.044127,22.66,0.7687
1747516941.1139524,2025-05-18 03:22:21.113,0.009944,100.56,0.7687
1747516941.140527,2025-05-18 03:22:21.140,0.026575,37.63,0.6999
1747516941.1721947,2025-05-18 03:22:21.172,0.031668,31.58,0.0000
1747516941.2046895,2025-05-18 03:22:21.204,0.032495,30.77,0.0000
1747516941.2342596,2025-05-18 03:22:21.234,0.029570,33.82,0.6702
1747516941.2632732,2025-05-18 03:22:21.263,0.029014,34.47,0.0000
1747516941.3282359,2025-05-18 03:22:21.328,0.064963,15.39,0.7255
1747516941.365343,2025-05-18 03:22:21.365,0.037107,26.95,0.7265
1747516941.3960443,2025-05-18 03:22:21.396,0.030701,32.57,0.7952
1747516941.4295316,2025-05-18 03:22:21.429,0.033487,29.86,0.8745
1747516941.4737117,2025-05-18 03:22:21.473,0.044180,22.63,0.8918
1747516941.485701,2025-05-18 03:22:21.485,0.011989,83.41,0.8918
1747516941.5081775,2025-05-18 03:22:21.508,0.022476,44.49,0.8976
1747516941.537396,2025-05-18 03:22:21.537,0.029218,34.22,0.8958
1747516941.5737376,2025-05-18 03:22:21.573,0.036342,27.52,0.8931
1747516941.6042285,2025-05-18 03:22:21.604,0.030491,32.80,0.8962
1747516941.6326199,2025-05-18 03:22:21.632,0.028391,35.22,0.8901
1747516941.6692498,2025-05-18 03:22:21.669,0.036630,27.30,0.8950
1747516941.7288618,2025-05-18 03:22:21.728,0.059612,16.78,0.8976
1747516941.7641573,2025-05-18 03:22:21.764,0.035295,28.33,0.8825
1747516941.7935233,2025-05-18 03:22:21.793,0.029366,34.05,0.8805
1747516941.845734,2025-05-18 03:22:21.845,0.052211,19.15,0.8906
1747516941.8590581,2025-05-18 03:22:21.859,0.013324,75.05,0.8906
1747516941.8728611,2025-05-18 03:22:21.872,0.013803,72.45,0.8971
1747516941.9052157,2025-05-18 03:22:21.905,0.032355,30.91,0.8807
1747516941.9408488,2025-05-18 03:22:21.940,0.035633,28.06,0.8950
1747516941.972158,2025-05-18 03:22:21.972,0.031309,31.94,0.8882
1747516941.9996657,2025-05-18 03:22:21.999,0.027508,36.35,0.8876
1747516942.0364237,2025-05-18 03:22:22.036,0.036758,27.21,0.8994
1747516942.0652666,2025-05-18 03:22:22.065,0.028843,34.67,0.8849
1747516942.1297889,2025-05-18 03:22:22.129,0.064522,15.50,0.8556
1747516942.1637242,2025-05-18 03:22:22.163,0.033935,29.47,0.8617
1747516942.2097483,2025-05-18 03:22:22.209,0.046024,21.73,0.8947
1747516942.219836,2025-05-18 03:22:22.219,0.010088,99.13,0.8947
1747516942.2444658,2025-05-18 03:22:22.244,0.024630,40.60,0.8362
1747516942.2750697,2025-05-18 03:22:22.275,0.030604,32.68,0.8939
1747516942.308911,2025-05-18 03:22:22.308,0.033841,29.55,0.8631
1747516942.3395927,2025-05-18 03:22:22.339,0.030682,32.59,0.8099
1747516942.3680198,2025-05-18 03:22:22.368,0.028427,35.18,0.8864
1747516942.404869,2025-05-18 03:22:22.404,0.036849,27.14,0.8716
1747516942.4326305,2025-05-18 03:22:22.432,0.027761,36.02,0.8729
1747516942.4641159,2025-05-18 03:22:22.464,0.031485,31.76,0.8798
1747516942.5297377,2025-05-18 03:22:22.529,0.065622,15.24,0.8814
1747516942.5790906,2025-05-18 03:22:22.579,0.049353,20.26,0.8767
1747516942.5890222,2025-05-18 03:22:22.589,0.009932,100.69,0.8767
1747516942.6100042,2025-05-18 03:22:22.610,0.020982,47.66,0.8676
1747516942.6447916,2025-05-18 03:22:22.644,0.034787,28.75,0.8938
1747516942.6733575,2025-05-18 03:22:22.673,0.028566,35.01,0.8798
1747516942.7060518,2025-05-18 03:22:22.706,0.032694,30.59,0.8634
1747516942.7433796,2025-05-18 03:22:22.743,0.037328,26.79,0.8643
1747516942.7709835,2025-05-18 03:22:22.770,0.027604,36.23,0.8602
1747516942.7997186,2025-05-18 03:22:22.799,0.028735,34.80,0.8678
1747516942.8358517,2025-05-18 03:22:22.835,0.036133,27.68,0.8502
1747516942.8640854,2025-05-18 03:22:22.864,0.028234,35.42,0.8699
1747516942.9484549,2025-05-18 03:22:22.948,0.084369,11.85,0.8644
1747516942.9596438,2025-05-18 03:22:22.959,0.011189,89.37,0.8644
1747516942.982002,2025-05-18 03:22:22.982,0.022358,44.73,0.8730
1747516943.0103528,2025-05-18 03:22:23.010,0.028351,35.27,0.8689
1747516943.0417106,2025-05-18 03:22:23.041,0.031358,31.89,0.8544
1747516943.080274,2025-05-18 03:22:23.080,0.038563,25.93,0.7944
1747516943.1052518,2025-05-18 03:22:23.105,0.024978,40.04,0.8208
1747516943.1356997,2025-05-18 03:22:23.135,0.030448,32.84,0.7984
1747516943.1742108,2025-05-18 03:22:23.174,0.038511,25.97,0.7450
1747516943.2003055,2025-05-18 03:22:23.200,0.026095,38.32,0.6910
1747516943.2368016,2025-05-18 03:22:23.236,0.036496,27.40,0.6174
1747516943.2658064,2025-05-18 03:22:23.265,0.029005,34.48,0.7427
1747516943.316812,2025-05-18 03:22:23.316,0.051006,19.61,0.7669
1747516943.348578,2025-05-18 03:22:23.348,0.031766,31.48,0.7307
1747516943.3779685,2025-05-18 03:22:23.377,0.029391,34.02,0.7952
1747516943.4119785,2025-05-18 03:22:23.411,0.034010,29.40,0.7275
1747516943.4406843,2025-05-18 03:22:23.440,0.028706,34.84,0.8627
1747516943.4769106,2025-05-18 03:22:23.476,0.036226,27.60,0.7976
1747516943.5073903,2025-05-18 03:22:23.507,0.030480,32.81,0.8547
1747516943.5380123,2025-05-18 03:22:23.538,0.030622,32.66,0.8457
1747516943.5718205,2025-05-18 03:22:23.571,0.033808,29.58,0.8446
1747516943.6007757,2025-05-18 03:22:23.600,0.028955,34.54,0.8044
1747516943.6800263,2025-05-18 03:22:23.680,0.079251,12.62,0.8661
1747516943.689961,2025-05-18 03:22:23.689,0.009935,100.66,0.8661
1747516943.7481694,2025-05-18 03:22:23.748,0.058208,17.18,0.8420
1747516943.7578428,2025-05-18 03:22:23.757,0.009673,103.38,0.8420
1747516943.8124704,2025-05-18 03:22:23.812,0.054628,18.31,0.8505
1747516943.8224442,2025-05-18 03:22:23.822,0.009974,100.26,0.8505
1747516943.871871,2025-05-18 03:22:23.871,0.049427,20.23,0.7418
1747516943.8819082,2025-05-18 03:22:23.881,0.010037,99.63,0.7418
1747516943.938003,2025-05-18 03:22:23.938,0.056095,17.83,0.0000
1747516943.949748,2025-05-18 03:22:23.949,0.011745,85.14,0.0000
1747516944.002766,2025-05-18 03:22:24.002,0.053018,18.86,0.0000
1747516944.0138454,2025-05-18 03:22:24.013,0.011080,90.26,0.0000
1747516944.0844064,2025-05-18 03:22:24.084,0.070561,14.17,0.0000
1747516944.0947154,2025-05-18 03:22:24.094,0.010309,97.00,0.0000
1747516944.149763,2025-05-18 03:22:24.149,0.055048,18.17,0.0000
1747516944.160537,2025-05-18 03:22:24.160,0.010774,92.82,0.0000
1747516944.209116,2025-05-18 03:22:24.209,0.048579,20.59,0.0000
1747516944.22043,2025-05-18 03:22:24.220,0.011314,88.39,0.0000
1747516944.2729902,2025-05-18 03:22:24.272,0.052560,19.03,0.6708
1747516944.2833123,2025-05-18 03:22:24.283,0.010322,96.88,0.6708
1747516944.3397002,2025-05-18 03:22:24.339,0.056388,17.73,0.0000
1747516944.3512576,2025-05-18 03:22:24.351,0.011557,86.53,0.0000
1747516944.4045665,2025-05-18 03:22:24.404,0.053309,18.76,0.0000
1747516944.4140215,2025-05-18 03:22:24.414,0.009455,105.76,0.0000
1747516944.482879,2025-05-18 03:22:24.482,0.068857,14.52,0.0000
1747516944.4925025,2025-05-18 03:22:24.492,0.009624,103.91,0.0000
1747516944.549962,2025-05-18 03:22:24.549,0.057460,17.40,0.0000
